variable,coef,std_err,t,p_value
const,32.11921392143993,1.3872336563322396,23.153427524503083,5.342668778112066e-114
CCAA_Cataluña,6.50873654542528,0.3602056202261123,18.069503028130274,3.0862103603544416e-71
CCAA_ComValenciana,-6.726803074353856,0.4010336340285349,-16.773663113441554,7.649328160127123e-62
CCAA_CastillaMancha,-4.75704656191722,0.38015509737817255,-12.513436212549275,1.6244717697126022e-35
CCAA_Rioja,-7.026702634920366,0.6081177188856742,-11.554839493570787,1.3930189836540046e-30
CCAA_PaísVasco,4.236153421619292,0.5144875671806636,8.23373331416531,2.1768767869200217e-16
ActividadPpal_Otro,-1.9536913603271073,0.2595653663875365,-7.526779814723838,5.910482851172474e-14
CCAA_Canarias,5.379875859750937,0.7419437021529499,7.251056709747351,4.61860612639282e-13
ConstructionUnemploymentPtge,0.04193805873938333,0.005970385449246296,7.024346936373699,2.3711955202245374e-12
ServicesUnemploymentPtge,0.02317278821912703,0.003500517442775246,6.619817954900806,3.8858428754823123e-11
CCAA_Madrid,-3.8410076205400854,0.5908598098034631,-6.500708893735241,8.591962468910781e-11
CCAA_Asturias,5.187492425215137,0.8091115021816807,6.411344309440207,1.5444030479404723e-10
CCAA_Navarra,3.151031086872711,0.5088931327972854,6.191930847154712,6.308425571233532e-10
CCAA_CastillaLeón,-1.9594975811667443,0.3343118141812394,-5.861287271482569,4.819626088487892e-09
Age_19_65_pct,-0.07580231934884699,0.013214030024805137,-5.736502732819,1.0103109093750316e-08
SUPERFICIE,5.017058312483741e-05,8.850417059804393e-06,5.668725302527862,1.5008269772441897e-08
Age_under19_Ptge,0.09631705480350437,0.018387031565424414,5.238314540375412,1.6718118384911212e-07
CCAA_Baleares,4.236241924017764,0.886060100996819,4.780987112783868,1.7830421636878935e-06
CCAA_Galicia,2.2766495607419848,0.4842799951462692,4.701101807962062,2.6413595897669024e-06
ForeignersPtge,0.05240568841096356,0.011366225378161383,4.610650120633168,4.091452443584842e-06
DifComAutonPtge,0.04480425747730398,0.010012904556402752,4.474651408581928,7.784974378041031e-06
Densidad_MuyBaja,-1.6322154180317954,0.36786433128450297,-4.437003751715887,9.27352887595471e-06
Explotaciones_cat_≤137,-0.9415077843262585,0.22735393593306086,-4.141154541540305,3.499690044686662e-05
IndustryUnemploymentPtge,0.026449689237183903,0.006439286063341601,4.107549963925366,4.048218372202192e-05
ActividadPpal_Servicios,-1.3533192908148524,0.3363487010083973,-4.023560331160801,5.7979934796416884e-05
CCAA_Aragón,-1.4840157622335313,0.3885338174105192,-3.8195279168339207,0.0001349614785152528
CCAA_Murcia,-3.383513541354345,0.9968241816094838,-3.394293200122097,0.00069220412953177
CCAA_Extremadura,-0.8978119369541839,0.43871325365469677,-2.04646640938009,0.04075093181682836
Densidad_Desconocida,-1.4975640622600133,0.7717472153643306,-1.9404852164617596,0.052364242885496425
ActividadPpal_Construccion,-3.001746429623275,1.6194480042165453,-1.8535614739143518,0.06384752531923063
Densidad_Baja,-0.6164369695670436,0.36555008369528397,-1.6863269824358582,0.09178116901484878
CCAA_Cantabria,-1.2291355730195295,0.732332951925455,-1.6783835409670935,0.09332066135656536
WomanPopulationPtge,-0.034494918316129185,0.02056726927927283,-1.6771754114627304,0.093556610298472
ActividadPpal_Industria,-0.7615264945647657,1.914168784802028,-0.39783664879036584,0.6907637584255626
