Name,count
Torrent,2
Moya,2
Mieres,2
El Campillo,2
Sobrado,2
Castejón,2
Cabanes,2
Villanueva de los Infantes,2
Arroyomolinos,2
Rebollar,2
El Molar,2
Cieza,2
Sada,2
Sancti-Spíritus,2
Villaescusa,2
Fonfría,2
La Zarza,2
Villaldemiro,1
Ahigal,1
Alagón del Río,1
Albalá,1
Alcántara,1
Alcollarín,1
Alcuéscar,1
Aldea del Cano,1
Aldeacentenera,1
Aldeanueva de la Vera,1
Aldeanueva del Camino,1
Aldehuela de Jerte,1
Alía,1
Aliseda,1
Almaraz,1
Abertura,1
Arroyo de la Luz,1
Arroyomolinos de la Vera,1
Baños de Montemayor,1
Barrado,1
Belvís de Monroy,1
Benquerencia,1
Berrocalejo,1
Berzocana,1
Bohonal de Ibor,1
Botija,1
Brozas,1
Cabañas del Castillo,1
Cabezabellosa,1
Cabezuela del Valle,1
Cabrero,1
Cáceres,1
Cachorrilla,1
Cadalso,1
Calzadilla,1
Caminomorisco,1
Campillo de Deleitosa,1
Campo Lugar,1
Cañamero,1
Cañaveral,1
Carbajo,1
Carcaboso,1
Carrascalejo,1
Casar de Cáceres,1
Casar de Palomero,1
Casares de las Hurdes,1
Casas de Don Antonio,1
Casas de Don Gómez,1
Casas de Millán,1
Casas de Miravete,1
Casas del Castañar,1
Casas del Monte,1
Casatejada,1
Casillas de Coria,1
Castañar de Ibor,1
Ceclavín,1
Cedillo,1
Cerezo,1
Cilleros,1
Collado de la Vera,1
Conquista de la Sierra,1
Coria,1
Cuacos de Yuste,1
Deleitosa,1
Descargamaría,1
El Gordo,1
El Torno,1
Eljas,1
Escurial,1
Fresnedoso de Ibor,1
Galisteo,1
Garciaz,1
Garganta la Olla,1
Gargantilla,1
Gargüera,1
Garrovillas de Alconétar,1
Garvín,1
Gata,1
Guadalupe,1
Guijo de Coria,1
Guijo de Galisteo,1
Guijo de Granadilla,1
Guijo de Santa Bárbara,1
Herguijuela,1
Hernán-Pérez,1
Herrera de Alcántara,1
Herreruela,1
Hervás,1
Higuera,1
Hinojal,1
Holguera,1
Hoyos,1
Huélaga,1
Ibahernando,1
Jaraicejo,1
Jaraíz de la Vera,1
Jarandilla de la Vera,1
Jarilla,1
Jerte,1
La Aldea del Obispo,1
La Cumbre,1
La Garganta,1
La Granja,1
La Pesga,1
Ladrillar,1
Logrosán,1
Losar de la Vera,1
