Variable,Coeficiente,AbsCoeficiente
CCAA_ComValenciana,-2.715463931276462,2.715463931276462
CCAA_Cataluña,2.2681627416015115,2.2681627416015115
CCAA_CastillaMancha,-1.583652391740332,1.583652391740332
CCAA_Madrid,-1.3552796053703156,1.3552796053703156
CCAA_PaísVasco,1.3543297442340814,1.3543297442340814
CCAA_Rioja,-1.1881890380345417,1.1881890380345417
CCAA_Asturias,1.1247992090230898,1.1247992090230898
CCAA_Navarra,0.931149317302513,0.931149317302513
CCAA_Canarias,0.8801214037665653,0.8801214037665653
CCAA_Galicia,0.8318552283693235,0.8318552283693235
ActividadPpal_Servicios,-0.7122480261965556,0.7122480261965556
CCAA_Extremadura,-0.6227718897040873,0.6227718897040873
CCAA_Cantabria,-0.6225292319104448,0.6225292319104448
Densidad_MuyBaja,-0.6067580613669087,0.6067580613669087
CCAA_CastillaLeón,-0.566368094196367,0.566368094196367
CCAA_Baleares,0.49543818898683906,0.49543818898683906
ActividadPpal_Otro,-0.48066474327052006,0.48066474327052006
Explotaciones_cat_≤137,-0.3286920999873968,0.3286920999873968
CCAA_Aragón,-0.27898661915587825,0.27898661915587825
Densidad_Baja,-0.2275418537428929,0.2275418537428929
CCAA_Murcia,-0.21458739729871243,0.21458739729871243
Densidad_Desconocida,-0.15180008211639964,0.15180008211639964
ActividadPpal_Construccion,-0.08086194366720381,0.08086194366720381
ActividadPpal_Industria,-0.06648917353268491,0.06648917353268491
ForeignersPtge,0.025342493713034403,0.025342493713034403
DifComAutonPtge,0.025068816516792145,0.025068816516792145
Age_19_65_pct,-0.011490611104697452,0.011490611104697452
ConstructionUnemploymentPtge,0.010379719040417833,0.010379719040417833
AgricultureUnemploymentPtge,-0.008543859717603991,0.008543859717603991
WomanPopulationPtge,0.005207492456791764,0.005207492456791764
