,Nulos,PctNulos
Explotaciones_win,182,2.244
Explotaciones,182,2.244
AbstentionPtge,0,0.0
Age_under19_Ptge,0,0.0
CodigoProvincia,0,0.0
TotalCensus,0,0.0
ForeignersPtge,0,0.0
DifComAutonPtge,0,0.0
SameComAutonDiffProvPtge,0,0.0
UnemployLess25_Ptge,0,0.0
UnemployMore40_Ptge,0,0.0
AgricultureUnemploymentPtge,0,0.0
Age_19_65_pct,0,0.0
WomanPopulationPtge,0,0.0
ConstructionUnemploymentPtge,0,0.0
IndustryUnemploymentPtge,0,0.0
SUPERFICIE,0,0.0
ServicesUnemploymentPtge,0,0.0
Name,0,0.0
CCAA,0,0.0
ActividadPpal,0,0.0
PobChange_pct,0,0.0
Densidad,0,0.0
Izda_Pct,0,0.0
Otros_Pct,0,0.0
Dcha_Pct,0,0.0
AbstencionAlta,0,0.0
Izquierda,0,0.0
Derecha,0,0.0
Explotaciones_cat,0,0.0
