CodigoProvincia,TotalCensus,AbstentionPtge,Age_under19_Ptge,Age_19_65_pct,WomanPopulationPtge,ForeignersPtge,DifComAutonPtge,SameComAutonDiffProvPtge,UnemployLess25_Ptge,UnemployMore40_Ptge,AgricultureUnemploymentPtge,IndustryUnemploymentPtge,ConstructionUnemploymentPtge,ServicesUnemploymentPtge,SUPERFICIE,PobChange_pct,Explotaciones,Name,CCAA,ActividadPpal,Densidad,Izda_Pct,Dcha_Pct,Otros_Pct,AbstencionAlta,Izquierda,Derecha
10,282,20.213,18.155,55.059,44.048,0.89,19.345,0.298,2.381,42.857,4.762,9.524,11.905,73.81,4507.5593,3.07,28,Abadía,Extremadura,Otro,MuyBaja,60.444,35.555,1.778,0,1,0
10,364,25.275,13.055,56.643,50.117,1.63,7.226,2.797,16.216,51.352,8.108,8.108,10.811,67.568,6270.7646,-6.54,67,Abertura,Extremadura,Otro,MuyBaja,54.779,44.11799999999999,0.368,0,1,0
10,569,27.241,9.139,54.834,49.033,0.7,18.102,0.703,8.197,55.73699999999999,22.951,9.836,13.115,49.18,5702.1,-15.58,74,Acebo,Extremadura,Otro,MuyBaja,44.203,53.14,0.966,0,0,1
10,704,30.114,14.964,60.098,51.095,0.12,5.109,0.487,7.407,31.482,16.667,5.556,16.667,59.259,9106.4649,-2.38,66,Acehúche,Extremadura,Otro,MuyBaja,50.813,45.325,0.0,1,1,0
10,540,30.185,15.569,59.391,48.154,0.64,4.173,0.161,15.385,36.538,21.154,0.0,11.538,61.538,4007.6141,-0.32,96,Aceituna,Extremadura,Otro,MuyBaja,44.562,49.867,0.796,1,0,1
10,1263,22.565,13.301,56.509,47.783,0.56,6.334,0.633,4.225,47.888,21.127,5.634,12.676,56.338,5207.3458,-2.07,281,Ahigal,Extremadura,ComercTTEHosteleria,MuyBaja,53.068,45.501,0.409,0,1,0
10,826,30.024,14.843,63.489,49.296,0.98,12.459,1.192,9.091,55.844,9.091,15.584,12.987,54.545,1429.19,5.01,99999,Alagón del Río,Extremadura,Otro,MuyBaja,59.343,37.89,0.692,1,1,0
10,629,27.027,12.055,52.055,49.863,3.56,8.904,1.233,15.686,54.902,5.882,1.961,27.451,52.941,3849.4679,-8.18,123,Albalá,Extremadura,Otro,?,37.037,60.567,0.218,0,0,1
10,1320,22.803,12.985,57.608,50.223,2.04,10.503,2.864,7.767,49.51499999999999,1.942,9.709,4.854,78.641,55199.4783,-3.62,215,Alcántara,Extremadura,ComercTTEHosteleria,MuyBaja,46.81,50.736,0.785,0,0,1
10,266,24.436,10.547,49.219,51.953,1.95,7.422,8.594,13.158,57.895,23.684,2.632,10.526,60.526,7991.5871,-1.54,53,Alcollarín,Extremadura,Otro,MuyBaja,37.811,58.209,0.498,0,0,1
